"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.066889167E-1,-1.421665409E0,-1.221462183E1,-3.000801598E0,1.265791962E1
6.166409167E-1,-2.854094665E0,-1.279206829E1,-1.880049402E0,1.324074972E1
6.265929167E-1,-3.719921122E0,-1.220976981E1,-8.546804953E-1,1.279244975E1
6.365449167E-1,-4.239750581E0,-1.051175593E1,-1.527403826E-1,1.133560000E1
6.464969167E-1,-4.520646435E0,-9.364732189E0,-7.001146120E-1,1.042231326E1
6.564489167E-1,-4.508385701E0,-9.557920686E0,-9.869357425E-1,1.061383209E1
6.664009167E-1,-3.799016993E0,-1.005874991E1,-1.086538383E0,1.080701372E1
6.763529167E-1,-2.789467729E0,-1.083825977E1,-1.111075054E0,1.124648802E1
6.863049167E-1,-1.895456669E0,-1.172051223E1,-8.895439339E-1,1.190606783E1
6.962569167E-1,-1.720096186E0,-1.259027152E1,-1.191022280E0,1.276292294E1
7.062089167E-1,-2.247784595E0,-1.331692606E1,-5.950875092E-1,1.351840170E1
7.161609167E-1,-2.398428750E0,-1.278695314E1,-3.045996263E-1,1.301350883E1
7.261129167E-1,-2.490479420E0,-1.104720534E1,1.324264976E-1,1.132522717E1
7.360649167E-1,-3.080069669E0,-9.134362417E0,1.613693526E0,9.773812600E0
7.460169167E-1,-2.448750473E0,-6.860339904E0,1.228991175E0,7.387222874E0
7.559689167E-1,-1.050397255E0,-4.797702423E0,3.179674941E-1,4.921624352E0
7.659209167E-1,-4.691427963E-1,-3.644384744E0,3.929077488E-1,3.695404122E0
7.758729167E-1,-7.413578745E-1,-3.093488737E0,7.664530277E-1,3.272114654E0
7.858249167E-1,-8.449005885E-1,-2.954330851E0,-1.041658080E-1,3.074537087E0
7.957769167E-1,-8.921361507E-1,-3.040128801E0,-7.821446157E-1,3.263439939E0
8.057289167E-1,-1.356780757E0,-3.192166348E0,-1.392453597E0,3.737607127E0
8.156809167E-1,-1.949570749E0,-3.142172654E0,-1.877194791E0,4.147039351E0
8.256329167E-1,-1.940988645E0,-2.233346942E0,-2.152903873E0,3.659271863E0
8.355849167E-1,-1.248445738E0,-7.797817558E-1,-1.484533210E0,2.090577719E0
8.455369167E-1,-2.244268445E-1,6.709136170E-1,-4.794026864E-1,8.545872838E-1
8.554889167E-1,9.552826446E-1,1.727024260E0,1.365652299E-1,1.978339654E0
8.654409167E-1,1.615362760E0,2.078112722E0,3.619578516E-1,2.656870870E0
8.753929167E-1,1.654818017E0,1.934986331E0,4.144746190E-1,2.579609269E0
8.853449167E-1,1.248369286E0,1.705645670E0,2.666470853E-1,2.130435095E0
8.952969167E-1,6.201630011E-1,1.531179957E0,-1.276511314E-1,1.656927585E0
9.052489167E-1,1.189809896E-1,1.220517974E0,-3.612947774E-1,1.278418757E0
9.152009167E-1,2.043055887E-1,8.252263159E-1,-5.012057475E-1,9.868872516E-1
9.251529167E-1,4.863416503E-1,4.527534163E-1,-1.317926959E-1,6.774091610E-1
9.351049167E-1,4.239377528E-1,2.729831100E-2,1.654125414E-1,4.558834554E-1
9.450569167E-1,4.871810912E-1,-2.317883062E-1,3.200363121E-1,6.272913801E-1
9.550089167E-1,5.825913149E-1,-3.794000959E-1,4.865644292E-1,8.485882493E-1
9.649609167E-1,5.021998107E-1,-5.651421636E-1,3.188580982E-1,8.205247113E-1
9.749129167E-1,5.160603431E-1,-7.054934657E-1,5.169459770E-1,1.015515855E0
9.848649167E-1,5.298312303E-1,-7.450586504E-1,9.227818465E-1,1.298984165E0
9.948169167E-1,2.594676730E-1,-7.959165627E-1,1.066277635E0,1.355638094E0
1.004768917E0,-7.813992418E-2,-1.035438396E0,9.075843483E-1,1.379111261E0
1.014720917E0,-3.224379829E-1,-1.201478271E0,6.425780831E-1,1.400151021E0
1.024672917E0,-5.977957567E-1,-1.310270981E0,4.633719599E-1,1.512905609E0
1.034624917E0,-6.091748038E-1,-1.325970170E0,6.252579725E-1,1.587525863E0
1.044576917E0,-1.125286785E-1,-1.032315983E0,7.018739661E-1,1.253381848E0
1.054528917E0,3.245979443E-1,-7.558128494E-1,8.512885255E-1,1.183768999E0
1.064480917E0,5.928806603E-1,-5.007035083E-1,7.343220661E-1,1.068382131E0
1.074432917E0,7.086527163E-1,-2.683228791E-1,7.394108248E-1,1.058732359E0
1.084384917E0,5.874796603E-1,-8.721940756E-2,7.865352899E-1,9.855847699E-1
1.094336917E0,3.620299186E-1,2.124603349E-1,6.236073035E-1,7.517254318E-1
1.104288917E0,9.821717966E-2,4.799417996E-1,4.380570245E-1,6.571793531E-1
1.114240917E0,-2.042605651E-1,5.803045785E-1,1.372545801E-1,6.303289634E-1
1.124192917E0,-4.424508416E-1,6.165573156E-1,-7.143605489E-2,7.622393197E-1
1.134144917E0,-3.969334837E-1,7.023207664E-1,-1.497407792E-1,8.205077394E-1
1.144096917E0,-1.879503418E-1,7.820265019E-1,-4.257357717E-2,8.054211880E-1
1.154048917E0,-1.184539545E-1,6.452063334E-1,-1.785991091E-1,6.798677767E-1
1.164000917E0,-2.550546331E-1,4.052173072E-1,-2.826520658E-1,5.560091026E-1
1.173952917E0,-4.445186729E-1,1.823881048E-1,-4.743986392E-1,6.752157730E-1
1.183904917E0,-5.115591930E-1,5.302255154E-2,-5.386817586E-1,7.447699215E-1
1.193856917E0,-5.655488740E-1,4.460256100E-2,-4.570429337E-1,7.285074884E-1
1.203808917E0,-5.079415938E-1,7.514841557E-3,-4.787279177E-1,6.980269011E-1
1.213760917E0,-5.967195036E-1,-1.319529462E-1,-7.379010737E-1,9.581146803E-1
1.223712917E0,-5.311889903E-1,-2.754494655E-1,-1.363334463E0,1.488863664E0
1.233664917E0,-2.957964238E-1,-2.685754788E-1,-2.146813413E0,2.183674917E0
1.243616917E0,-4.032190213E-1,-3.216319442E-2,-1.004330624E0,1.082728061E0
1.253568917E0,-2.930176259E-1,2.460508347E-1,-3.799766314E-1,5.392426010E-1
1.263520917E0,-1.042226721E-1,2.913620782E-1,-2.619412279E-1,4.054225362E-1
1.273472917E0,-1.825416125E-1,1.599482453E-1,-3.146503687E-2,2.447344071E-1
1.283424917E0,-3.398477020E-1,1.967377567E-1,3.257477993E-1,5.102095983E-1
1.293376917E0,-6.066122981E-1,1.737658006E-1,2.789496088E-1,6.899173269E-1
1.303328917E0,-4.150461113E-1,1.460283637E-2,8.195572576E-2,4.233122468E-1
1.313280917E0,1.455122190E-1,-8.913027763E-2,-5.526911026E-1,5.784336325E-1
1.327630458E0,-9.302043021E-2,8.692145538E-2,-5.694131892E-2,1.394648832E-1
1.337582458E0,-1.463867980E-1,1.004491715E-1,5.191095930E-2,1.849699391E-1
1.347534458E0,-1.479006422E-1,7.873524383E-2,8.877772707E-2,1.896188899E-1
1.357486458E0,-1.615223157E-1,7.692282625E-2,3.730519932E-2,1.827519017E-1
1.367438458E0,-1.604838502E-1,1.011534686E-1,-6.700558305E-2,2.011885647E-1
1.377390458E0,-1.946678424E-1,5.537134152E-2,-1.650662766E-1,2.611674367E-1
1.387342458E0,-2.097519046E-1,6.268251725E-2,-2.143682448E-1,3.063963183E-1
1.397294458E0,-9.571892023E-2,3.458916765E-2,-8.988866150E-2,1.357884151E-1
1.407246458E0,1.529807031E-2,5.505884439E-4,5.105203986E-2,5.329770048E-2
1.417198458E0,6.235763133E-2,2.521692149E-2,1.188043123E-1,1.365241076E-1
1.427150458E0,9.536808729E-4,-4.734453969E-3,-4.231045246E-3,6.420771407E-3
1.437102458E0,-8.750650585E-2,1.160727125E-2,-1.660778815E-1,1.880797172E-1
