"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.189547083E-1,-3.294925755E-1,3.248335140E-1,-2.474175044E0,2.517066609E0
6.289067083E-1,-2.881278005E-1,3.022925708E-1,-1.914208251E0,1.959232415E0
6.388587083E-1,-1.761426207E-1,4.622566766E-1,-1.318523156E0,1.408265164E0
6.488107083E-1,4.925071372E-2,6.457922975E-1,-1.067220937E0,1.248372482E0
6.587617083E-1,2.111787166E-1,7.519896474E-1,-1.038896440E0,1.299765630E0
6.687137083E-1,2.595716072E-1,9.420450599E-1,-1.244327837E0,1.582143508E0
6.786657083E-1,2.409062716E-1,1.067382978E0,-1.610905573E0,1.947398013E0
6.886167083E-1,2.372437036E-1,1.157525409E0,-1.999654198E0,2.322663677E0
6.985687083E-1,2.065488547E-1,1.186509472E0,-2.430396940E0,2.712433675E0
7.085207083E-1,1.348542250E-1,1.180152598E0,-2.726290026E0,2.973819618E0
7.184727083E-1,1.020744965E-1,1.159055406E0,-2.631606063E0,2.877356270E0
7.284237083E-1,1.136307142E-1,1.173204717E0,-2.313460228E0,2.596424364E0
7.383757083E-1,6.238352353E-2,1.117686428E0,-1.999072984E0,2.291158539E0
7.483277083E-1,-1.462662723E-3,1.084353644E0,-1.675167643E0,1.995497832E0
7.582797083E-1,-4.733684694E-2,1.156720320E0,-1.387436101E0,1.806992421E0
7.682307083E-1,-4.975987829E-2,1.180914564E0,-1.448338945E0,1.869417276E0
7.781827083E-1,2.453678981E-2,1.210401780E0,-1.712983341E0,2.097614466E0
7.881347083E-1,2.126967086E-1,1.274751777E0,-1.859975910E0,2.264893456E0
7.980867083E-1,3.290119343E-1,1.322678480E0,-1.791593893E0,2.251118808E0
8.080377083E-1,4.075120835E-1,1.254584730E0,-1.420810254E0,1.938749783E0
8.179897083E-1,4.889376313E-1,1.121178166E0,-7.770054978E-1,1.449081789E0
8.279417083E-1,4.157062254E-1,1.022736928E0,2.086286545E-2,1.104190993E0
8.378937083E-1,2.722278507E-1,8.635866087E-1,7.988547885E-1,1.207501059E0
8.478447083E-1,1.363986573E-1,6.479803987E-1,1.271201640E0,1.433330667E0
8.577967083E-1,5.431591453E-2,4.980011445E-1,1.640248656E0,1.715042568E0
8.677487083E-1,-2.383598046E-2,5.650408606E-1,1.885743420E0,1.968722320E0
8.777007083E-1,-2.922795063E-1,7.147385714E-1,1.807373773E0,1.965420691E0
8.876517083E-1,-5.554391478E-1,8.268136156E-1,1.519807123E0,1.817126053E0
8.976037083E-1,-6.816682546E-1,9.850033839E-1,1.196070766E0,1.692775399E0
9.075557083E-1,-7.408331600E-1,1.129816111E0,7.846799684E-1,1.562383074E0
9.175077083E-1,-8.212696512E-1,9.940108734E-1,6.889166093E-1,1.461898612E0
9.274587083E-1,-8.043891782E-1,5.749096450E-1,1.212747025E0,1.564710323E0
9.374102083E-1,-6.195381530E-1,1.174223229E-2,2.155192473E0,2.242503065E0
9.473622083E-1,-3.567240455E-1,-6.193593013E-1,3.298323133E0,3.374876809E0
9.573132083E-1,6.623490175E-2,-1.218466187E0,4.512064769E0,4.674160394E0
9.672652083E-1,5.818804397E-1,-1.592272251E0,5.486064717E0,5.742022452E0
9.772172083E-1,1.009443649E0,-1.640015206E0,5.846474226E0,6.155476198E0
9.871692083E-1,1.156794287E0,-1.396441690E0,5.362066907E0,5.660387260E0
9.971202083E-1,9.656406216E-1,-1.016778762E0,4.102330488E0,4.335368069E0
1.007072208E0,5.661944797E-1,-7.162210599E-1,2.583584635E0,2.740156631E0
1.017024208E0,1.775436135E-1,-5.416515595E-1,1.344588874E0,1.460420277E0
1.026976208E0,-7.658710470E-2,-5.279594269E-1,5.950372231E-1,7.991720953E-1
1.036927208E0,-2.441413716E-1,-5.762270227E-1,2.782730860E-1,6.848930583E-1
1.046879208E0,-2.754016280E-1,-6.474752723E-1,2.858282733E-1,7.594524915E-1
1.056831208E0,-1.691057159E-1,-7.657073615E-1,4.761136276E-1,9.173814327E-1
1.066783208E0,3.295084178E-3,-8.457868072E-1,7.054279768E-1,1.101360437E0
1.076734208E0,1.587085808E-1,-9.221806066E-1,7.343430430E-1,1.189481059E0
1.086686208E0,2.633374334E-1,-9.096181561E-1,4.920806193E-1,1.067190297E0
1.096638208E0,4.041136087E-1,-7.576803770E-1,-5.648936570E-2,8.605686555E-1
1.106590208E0,4.285424352E-1,-6.056638066E-1,-7.616875470E-1,1.063318007E0
1.116541208E0,3.378296086E-1,-4.914836917E-1,-1.521550763E0,1.634258788E0
1.126493208E0,1.812043360E-1,-4.009321752E-1,-2.193302286E0,2.236997214E0
1.136445208E0,5.654752722E-2,-3.767529883E-1,-2.585755706E0,2.613670409E0
1.146397208E0,-6.385842886E-2,-2.960532262E-1,-2.622311913E0,2.639743393E0
1.156348208E0,-1.647123191E-1,-2.449601828E-1,-2.487113762E0,2.504569925E0
1.166300208E0,-2.863975911E-1,-2.737496068E-1,-2.310799745E0,2.344516558E0
1.176252208E0,-2.898198020E-1,-2.925240661E-1,-2.151450840E0,2.190503723E0
1.186203208E0,-2.018337514E-1,-2.619596466E-1,-2.104071436E0,2.129900544E0
1.196155208E0,-1.453510003E-1,-2.260336228E-1,-2.270406595E0,2.286255501E0
1.206107208E0,-1.774730815E-1,-1.990008485E-1,-2.563652061E0,2.577481314E0
1.216059208E0,-1.612380314E-1,-1.300373983E-1,-2.791535597E0,2.799210320E0
1.226011208E0,-1.282325273E-1,9.761853442E-3,-2.967946093E0,2.970731036E0
1.235962208E0,-1.546445101E-1,2.180084655E-1,-3.223477018E0,3.234539643E0
1.245914208E0,-1.780993000E-1,3.881448262E-1,-3.421442690E0,3.447991568E0
1.255866208E0,-1.683746860E-1,5.298298781E-1,-3.383007773E0,3.428383194E0
