"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.133964010E-1,-9.724820852E-1,7.109024525E-1,-3.667396545E0,3.860168536E0
7.233964010E-1,-6.631181836E-1,3.540458083E-1,-3.829827309E0,3.902902942E0
7.333964010E-1,-5.743128061E-1,1.893852353E-1,-2.112949371E0,2.197784569E0
7.433955340E-1,-6.368424892E-1,4.953616858E-1,-2.463338375E0,2.592100983E0
7.533955340E-1,-6.069194674E-1,6.741576791E-1,-2.947227478E0,3.083664966E0
7.633955340E-1,-6.824802160E-1,4.925200343E-1,-2.936521530E0,3.054752678E0
7.733955340E-1,-7.393531799E-1,6.296226978E-1,-3.044721127E0,3.195840203E0
7.833955670E-1,-7.852791548E-1,6.391524076E-1,-3.274099350E0,3.427084140E0
7.933955670E-1,-7.666314840E-1,6.413706541E-1,-3.275263786E0,3.424387977E0
8.033955330E-1,-6.424112916E-1,4.429478943E-1,-3.987051487E0,4.062693031E0
8.133955330E-1,-7.149555683E-1,4.611778855E-1,-4.071572304E0,4.159512896E0
8.233955330E-1,-7.815819383E-1,3.309241235E-1,-4.125511169E0,4.211914471E0
8.333955330E-1,-7.900458574E-1,1.448890865E-1,-3.675077438E0,3.761829273E0
8.433962330E-1,-8.476512432E-1,-7.118076086E-2,-3.737720966E0,3.833293278E0
8.533962330E-1,-7.992906570E-1,-2.065804303E-1,-3.740723133E0,3.830737604E0
8.633962330E-1,-6.307507753E-1,-2.612304688E-1,-3.515974998E0,3.581643211E0
8.733962660E-1,-4.632878304E-1,-2.082520127E-1,-3.376421928E0,3.414414965E0
8.833971320E-1,-3.650112152E-1,-1.896052063E-1,-3.377167702E0,3.402123603E0
8.933971320E-1,-5.413132906E-1,-1.015769839E-1,-2.240030766E0,2.306745715E0
9.033971320E-1,-7.321308851E-1,6.991332769E-2,-1.677596092E0,1.831729280E0
9.133971320E-1,-8.967808485E-1,1.270540953E-1,-1.537242889E0,1.784229339E0
9.233970980E-1,-8.955345750E-1,2.074766159E-2,-1.514948845E0,1.759966660E0
9.333970980E-1,-9.217135310E-1,2.343952656E-3,-1.806625843E0,2.028166232E0
9.433971310E-1,-9.105376601E-1,-1.634002477E-1,-2.069478512E0,2.266830338E0
9.533971310E-1,-8.802902699E-1,-3.203864992E-1,-2.418128014E0,2.593241516E0
9.633971310E-1,-4.416021407E-1,-4.012141526E-1,-2.459862232E0,2.531186964E0
9.733971310E-1,-2.752287090E-1,-2.951513231E-1,-2.462884903E0,2.495729791E0
9.833962970E-1,-5.941995382E-1,-3.431950808E-1,-1.740069389E0,1.870480536E0
9.933962970E-1,-8.840641379E-1,-2.743255496E-1,-6.840705872E-1,1.150989346E0
1.003396297E0,-1.422952294E0,-3.246794939E-1,-4.680395126E-1,1.532733177E0
1.013396297E0,-1.845304489E0,-4.858570099E-1,-2.513103485E-1,1.924672072E0
1.023396297E0,-1.980876446E0,-8.043813705E-1,-1.675577164E-1,2.144522434E0
1.033396297E0,-1.550031066E0,-5.720572472E-1,3.245477676E-1,1.683798400E0
