"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.809090833E-1,-2.191175726E-1,1.051398079E0,-4.291885525E-1,1.156569602E0
5.908620833E-1,-1.605876566E-1,1.108400465E0,-5.367358053E-1,1.241944166E0
6.008150833E-1,-9.801418992E-2,1.120719744E0,-4.574797207E-1,1.214457583E0
6.107680833E-1,-5.821124280E-2,1.084187803E0,-2.574850649E-1,1.115863029E0
6.207210833E-1,-5.902391441E-2,1.015288306E0,-1.258595628E-1,1.024760849E0
6.306740833E-1,-5.905687809E-5,1.038368290E0,-1.133289796E-1,1.044534426E0
6.406270833E-1,5.251298496E-2,1.084692637E0,-1.886797088E-1,1.102232173E0
6.505800833E-1,6.818306610E-2,1.129777374E0,-1.562007648E-1,1.142560512E0
6.605330833E-1,6.888029175E-2,1.110151633E0,1.550681591E-3,1.112287529E0
6.704860833E-1,7.483372573E-2,1.060408054E0,-2.154698968E-3,1.063047492E0
6.804390833E-1,1.490257378E-1,1.124085255E0,-2.658717263E-1,1.164673391E0
6.903920833E-1,3.323183886E-1,1.250862392E0,-5.334894311E-1,1.399893999E0
7.003450833E-1,4.982325480E-1,1.351433917E0,-6.619650382E-1,1.585183591E0
7.102980833E-1,5.457424543E-1,1.432440219E0,-6.217332709E-1,1.654168090E0
7.202510833E-1,4.912372316E-1,1.447333516E0,-5.013291603E-1,1.608545695E0
7.302050833E-1,4.900581040E-1,1.429022083E0,-4.146436036E-1,1.566585579E0
7.401580833E-1,5.065399066E-1,1.432680101E0,-3.014841932E-1,1.549208723E0
7.501110833E-1,5.706345629E-1,1.403414202E0,-2.185730141E-1,1.530676122E0
7.600640833E-1,5.655168240E-1,1.336725538E0,-1.062865931E-1,1.455314840E0
7.700170833E-1,5.274928557E-1,1.294384827E0,-8.796551228E-3,1.397768998E0
7.799700833E-1,5.616800638E-1,1.276977227E0,-6.270437121E-2,1.396455216E0
7.899230833E-1,5.878460249E-1,1.315154137E0,-2.410970736E-1,1.460589316E0
7.998760833E-1,6.152852538E-1,1.381309827E0,-3.856443375E-1,1.560549370E0
8.098290833E-1,5.558492569E-1,1.478890354E0,-4.201534349E-1,1.634813135E0
8.197820833E-1,4.601249280E-1,1.627470297E0,-4.436224043E-1,1.748478011E0
8.297350833E-1,3.110897067E-1,1.755428133E0,-4.306807619E-1,1.834063972E0
8.396880833E-1,2.599120065E-1,1.872931001E0,-4.469757825E-1,1.942990514E0
8.496410833E-1,2.778271261E-1,2.021561376E0,-4.686443943E-1,2.093687149E0
8.595940833E-1,3.484150789E-1,2.110769421E0,-4.978676087E-1,2.196500119E0
8.695470833E-1,3.780839973E-1,2.135981154E0,-5.984964359E-1,2.250235761E0
8.795000833E-1,3.519575780E-1,2.133684513E0,-8.826003653E-1,2.335694146E0
