"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.929823917E0,-3.156634865E0,7.704718921E-2,1.278068025E0,3.406425960E0
2.939776917E0,-3.379254152E0,-5.246746805E-2,1.332413217E0,3.632827610E0
2.949729917E0,-3.544524241E0,-8.936840549E-2,1.100535448E0,3.712521661E0
2.959682917E0,-3.605579113E0,-1.708790302E-2,7.277906531E-1,3.678338208E0
2.969635917E0,-3.566256588E0,1.604389363E-1,5.073208022E-1,3.605731701E0
2.979588917E0,-3.498112844E0,2.577491397E-1,3.674051178E-1,3.526785308E0
2.989541917E0,-3.231801115E0,4.462703525E-1,3.446050698E-1,3.280617065E0
2.999494917E0,-3.067014591E0,6.001817862E-1,6.303240001E-2,3.125823053E0
3.009447917E0,-2.906121728E0,6.807003942E-1,-3.781078613E-1,3.008631263E0
3.019400917E0,-2.671110436E0,4.906221776E-1,-5.848811942E-1,2.778061752E0
3.029353917E0,-2.429210248E0,4.055178541E-1,-1.077487478E0,2.688212496E0
3.039306917E0,-2.349214783E0,3.526087751E-1,-1.399031129E0,2.756887946E0
3.049259917E0,-2.407894515E0,2.670433256E-1,-1.484004037E0,2.841044899E0
