Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
6.143445833E-1,-1.566155078E0,2.231513840E-1,8.459745759E-1,1.793965231E0
6.242965833E-1,-1.697916089E0,4.091862876E-1,1.043989949E0,2.034764723E0
6.342475833E-1,-1.676528582E0,5.805560454E-1,9.672429049E-1,2.020730622E0
6.441985833E-1,-1.439363030E0,3.832484775E-1,9.089297926E-1,1.744935155E0
6.541495833E-1,-1.389063235E0,1.396004830E-1,8.919342756E-1,1.656662825E0
6.641005833E-1,-1.323442419E0,4.573798064E-2,5.546914351E-1,1.435713894E0
6.740515833E-1,-1.369234157E0,6.863783330E-2,2.270239949E-2,1.371141396E0
6.840035833E-1,-1.278686807E0,-1.138348734E-1,-3.965786308E-1,1.343604458E0
6.939545833E-1,-1.523634272E0,-7.596713539E-2,-6.985054582E-1,1.677838572E0
7.039055833E-1,-1.765246046E0,-2.394950096E-2,-1.122635584E0,2.092122807E0
7.138565833E-1,-1.544014011E0,-6.252738331E-2,-1.198560510E0,1.955616587E0
7.238075833E-1,-1.365496471E0,-1.351166553E-1,-1.100406225E0,1.758900504E0
7.337585833E-1,-1.357410210E0,-3.990539034E-1,-1.299717341E0,1.921216194E0
7.437095833E-1,-1.520211019E0,-6.936918841E-1,-1.672731693E0,2.364377569E0
7.536615833E-1,-1.654168391E0,-9.293912467E-1,-2.085310645E0,2.819319358E0
7.636125833E-1,-1.688744439E0,-1.085608238E0,-2.450703151E0,3.168019722E0
7.735635833E-1,-1.710448280E0,-1.208935079E0,-2.691977980E0,3.410850742E0
7.835145833E-1,-1.771568787E0,-1.222781139E0,-2.711438683E0,3.462015224E0
7.934655833E-1,-1.775475896E0,-1.143506344E0,-2.424715201E0,3.215457234E0
8.034165833E-1,-1.630956699E0,-1.008001506E0,-1.970437415E0,2.749310895E0
8.133675833E-1,-1.387453350E0,-8.725162572E-1,-1.563270646E0,2.264978263E0
8.233195833E-1,-9.737384306E-1,-6.362532961E-1,-1.215577077E0,1.682442397E0
8.332705833E-1,-4.735152711E-1,-3.399952711E-1,-9.216457325E-1,1.090524806E0
8.432215833E-1,-1.520197132E-1,-1.827095555E-1,-7.794244909E-1,8.148590749E-1
